Video Title,Video Link,Start Time,Subtitles
Kane Brown - What Ifs (Official American Sign Language Video) ft. Lauren Alaina,https://www.youtube.com/watch?v=0rlxgJRsUIM&ab_channel=KaneBrownVEVO,0:07,"You say what if I hurt you
You say what if I leave you
What if I find somebody else 
And I don't need you

What if this goes south
What if I mess you up
What if I break your heart in two then what
Well I hear you girl I feel you girl
But not so fast before you make your mind up
I gotta ask

What if I was made for you
And you were made for me
What if this is it what if it's meant to be
What if I ain't one of them fools 
Just playin' some game

What if I just pulled you close
What if I leaned in
And the stars line up and it's our last first kiss
What if one of these days baby 
I'd go and change your name
What if I loved all these what ifs away

What if the sky falls
What if the sun stops burnin' 
We would worry about them what ifs
Til' the world stops turnin' 

Or I could kiss you what if you liked it
Well we ain't never gonna know
Unless we try it 

What if I was made for you
And you were made for me
What if this is it what if it's meant to be
What if I ain't one of them fools 
Just playin' some game

What if I just pulled you close
What if I leaned in
And the stars line up and it's our last first kiss
What if one of these days baby 
I'd go and change your name
What if I loved all these what ifs away

You say what if I hurt you
What if I leave you
What if I find somebody else 
And I don't need you 

What if I was made for you
And you were made for me
What if this is it what if it's meant to be
What if I ain't one of them fools 
Just playin' some game

What if I just pulled you close
What if I leaned in
And the stars line up and it's our last first kiss
What if one of these days baby 
I'd go and change your name
What if I loved all these what ifs away

Away 
Away
What if"
Kane Brown - I Can Feel It (Official American Sign Language Video),https://www.youtube.com/watch?v=DQL0l9nyToQ&list=PLpa-6y72uD3tAfZyX9S5lBOkiFQgYqomz&ab_channel=KaneBrownVEVO,0:11,"I can see you by the bar
Skinny margarita with a broken heart
So I slid over like a steel guitar
We started talking till I
Saw your boots bounce to the beat
You said, ""Do you dance? Wanna dance with me?""
Next thing I know, I started to think
That we might be on to something

You're putting on a show
No need to take it slow
There's something here, I know

I can feel it in the air, feel it in the whiskey in my hand
In your hips, your body tells me when you start to dance
Maybe this is turning to a ""We should probably get up out of here""
Oh, baby, I swear, I can feel it in the air
I can feel it, mm

You got everybody looking
Looking at you, looking at me
Them words you're whispering in my ear
Girl, they're as smooth as Tennessee

We got all night to go
This flame ain't burning low
There's something here I know

'Cause I can feel it in the air, feel it in the whiskey in my hand
In your hips, your body tells me when you start to dance
Maybe this is turning to a ""We should probably get up out of here""
Oh, baby, I swear, I can feel it in the air
I can feel it
I can feel it in the air

I can feel it coming in the air tonight
Oh, Lord

'Cause I can feel it in the air, feel it in the whiskey in my hand
In your hips, your body tells me when you start to dance
Maybe this is turning to a ""We should probably get up out of here""
Oh, baby, I swear, I can feel it in the air
I can feel it
I can feel it
I can feel it in the air
I can feel it
I can feel it
See, I can feel it in the air
I can feel it
I can feel it"
Kane Brown - Homesick (Official American Sign Language Video),https://www.youtube.com/watch?v=7Ohz-UsTlaw&list=PLpa-6y72uD3tAfZyX9S5lBOkiFQgYqomz&index=3&ab_channel=KaneBrownVEVO,0:16,"Dancin' in the kitchen, you singin' my favorite song
Swingin' on the front porch, just laughin' at the dogs
How you swear you love me more when you're whispering, ""Goodnight""
All those little moments are every reason why

I'm homesick
This feelin' that I'm feeling'
No, it don't quit
It's like half of me is missin'

Well, it says ""Kane Brown"" on a sign with a line out the door
It sold out some little town I've never been before
Yeah, they're screamin' my name, this is what we dreamed about
But out here singin' 'bout you, baby, all I'm thinkin' 'bout

I'm homesick
This feelin' that I'm feeling'
No, it don't quit
It's like half of me is missin'
Heaven knows it
That all I wanna do
Is be alone with
Your brown eyes all tangled up
Just holdin'
Onto you tonight
Until the mornin'
Baby, that's the damn truth
If home is where the heart is
I'm homesick for you

Homesick for you
Yeah, yeah

I'm homesick
This feelin' that I'm feelin'
No, it don't quit
It's like half of me is missin'
Heaven knows it
That all I wanna do
Is be alone with
Your brown eyes, just tangled up
Just holdin'
Onto you tonight
Until the mornin'
Baby, that's the damn truth
If home is where the heart is
I'm homesick for you

I'm homesick for you
Yeah, yeah"
"Kane Brown, Katelyn Brown - Thank God (Official American Sign Language Video)",https://www.youtube.com/watch?v=9GyIJjBbVWM&list=PLpa-6y72uD3tAfZyX9S5lBOkiFQgYqomz&index=4&ab_channel=KaneBrownVEVO,0:10,"
I was lost, you found a way to bring me back
Needed forgiveness, you always gave me that
Girl, I'm a witness of your love
'Cause you don't be giving up
And it's crazy how you save me

Hand on the Bible, don't know how I got you
But I couldn't ask for more
Girl, what we got is worth thanking God for

So thank God I get to wake up by your side
And thank God your hand fits perfectly in mine
And thank God you loved me when you didn't have to
But you did, and you do, and He knew
Thank God for giving me you
Thank God, thank God for giving me you

Never thought I'd find an angel undercover
Meant to change your everything
From my heart to my last name
Hey, hard to tell when he fell that boy was heaven sent
And every night when I close my eyes before I say Amen

I thank God I get to wake up by your side
And thank God your hand fits perfectly in mine
And thank God you loved me when you didn't have to
But you did, and you do, and He knew
Thank God for giving me you
Thank God, thank God yeah yeah
Thank God

Hand on the Bible, don't know how I got you
I couldn't ask for more
Girl, what we got is worth thanking God for

So thank God I get to wake up by your side
And thank God your hand fits perfectly in mine
And thank God you loved me when you didn't have to
But you did, and you do, and He knew
Thank God for giving me you
Thank God, thank God, thank God yeah yeah
Thank God, thank God for giving me you
Thank God, yeah thank God
Thank God, thank God for giving me you"
"Kane Brown - Heaven (Official American Sign Language Video)
",https://www.youtube.com/watch?v=M3kz6Ku8tOc&list=PLpa-6y72uD3tAfZyX9S5lBOkiFQgYqomz&index=5&ab_channel=KaneBrownVEVO,0:13,"This is perfect
Come kiss me one more time
I couldn't dream this up
Even if I tried
You and me in this moment
Feels like magic only
I'm right where I wanna be
Everybody's talking about heaven like they just can't wait to go
Saying how it's gonna be so good, so beautiful
Lying next to you, in this bed with you, I ain't convinced
'Cause, I don't know how, I don't know how heaven, heaven
Could be better than this
I swear you're an angel
Sent to this world
What did I do right to deserve you, girl?
I could stay here forever
I'd be fine if we never had to even leave this room
Everybody's talking about heaven like they just can't wait to go
Saying how it's gonna be so good, so beautiful
Lying next to you, in this bed with you, I ain't convinced
'Cause, I don't know how, I don't know how heaven, heaven
Could be better than this
Could be better than this
Everybody's talking about heaven like they just can't wait to go
Saying how it's gonna be so good, so beautiful
Lying next to you, in this bed with you, I ain't convinced
'Cause, I don't know how, I don't know how heaven, heaven
Could be better than this (heaven)
Could be better than this (heaven, heaven)
I swear, this is perfect
Come kiss me one more time"
"Kane Brown, Swae Lee, Khalid - Be Like That (Official American Sign Language Video)",https://www.youtube.com/watch?v=YM5oQVKClM0&list=PLpa-6y72uD3tAfZyX9S5lBOkiFQgYqomz&index=6&ab_channel=KaneBrownVEVO,0:11,"I might be better on my own
I hate you blowing up my phone
I wish I never met yo' ass
Sometimes it be like that
But I'm not myself the nights you're gone
There ain't no way I'm moving on
I'm not afraid to need you bad
Sometimes it be like that

We both wanna love
We both wanna slide
We both wanna argue until we're both right
And you want a hug
I kiss you goodnight
Maybe we're both just out of our mind

You throw tantrums while I'm twisting up
No medicine is fixing us
Can't tell you why but tell you what
You got me thinking

I might be better on my own
I hate you blowing up my phone
I wish I never met yo' ass
Sometimes it be like that
But I'm not myself the nights you're gone
There ain't no way I'm moving on
I'm not afraid to need you bad
Sometimes it be like that

I cross the seas witchu'
Wasn't even supposed to be witchu'
Yeah, and it gets crazy in the night
I cannot sleep with you
And I could keep you nice and warm
Won't do no thinking, I'm in love
If I was to give you the world
That's anything that you can think of

Got too much going to be upset
I swear I'd rather be your friend
I said I'm gonna be right back
It hurts sometimes it be like that

I might be better on my own
I hate you blowing up my phone
I wish I never met yo' ass
Sometimes it be like that
But I'm not myself the nights you're gone
There ain't no way I'm moving on
I'm not afraid to need you bad
Sometimes it be like that

Sometimes when you thought you found the love of your life
Now you're thinking I'm just one of those guys leading on
I can't help when you read it wrong

Don't know why I trip on us
You put me down, I pick you up
Can't tell you why, but tell you what
You got me thinking

I might be better on my own
I hate you blowing up my phone
I wish I never met yo' ass
Sometimes it be like that
But I'm not myself the nights you're gone
There ain't no way I'm moving on
I'm not afraid to need you bad
Sometimes it be like that

Sometimes when you're falling off track
Baby, don't you leave me like that
Don't cry
'Cause we're both just out of our mind"
"Kane Brown, blackbear - Memory (Official American Sign Language Video)",https://www.youtube.com/watch?v=V6ihFqdMuVw&list=PLpa-6y72uD3tAfZyX9S5lBOkiFQgYqomz&index=7&ab_channel=KaneBrownVEVO,0:11,"
Yeah, yeah, yeah-ayy, yeah
Ooh, ooh, ooh, ooh, ooh, ooh-ooh, ooh, ooh-ooh, ooh-ooh, ooh
Yeah

I wanna live life fast, I don't know how to slow down
I wanna get high, I don't know how to come down
Help me now, I'm runnin' on empty
And I don't wanna be a memory

Am I the only one that's comin' unglued?
Emotions building up, they start to run you
The bottles on the shelf I'm 'bout to run through
Doin' everything I wish that I can undo, ayy
I'm by myself
And why won't no one help?
I know this can't be healthy
So I'm lookin' for a way out (For a way out)

I wanna live life fast, I don't know how to slow down
I wanna get high, I don't know how to come down
Help me now, I'm runnin' on empty
And I don't wanna be a memory
Live life fast, I don't know how to slow down
I wanna get high, I don't know how to come down
Help me now, I'm runnin' on empty
And I don't wanna be a memory

Ooh, ooh, ooh, ooh, ooh, ooh-ooh, ooh, ooh-ooh, ooh-ooh, ooh
And I don't wanna be a memory
Ooh, ooh, ooh, ooh, ooh, ooh-ooh, ooh, ooh-ooh, ooh-ooh, ooh
Talk to me blackbear

Tryna find the beauty in the letdown
Goin' through my text now
Tryna find the things I never said to prove a point
I'ma roll my feelings in a joint
Pieces of the story that got left out, I checked out
Wish it was, I wish it was, I wish it was a phase
Nothin' you could do and there's nothin' you could say
Runnin' from the, runnin' from the, runnin' from the pain
I gotta get away, ayy-ayy (I gotta get away, ayy-ayy, I gotta get away, ayy-ayy, I gotta get away, ayy-ayy)

I wanna live life fast, I don't know how to slow down
I wanna get high, I don't know how to come down
Help me now, I'm runnin' on empty
And I don't wanna be a memory
Live life fast, I don't know how to slow down
I wanna get high, I don't know how to come down
Help me now, I'm runnin' on empty
And I don't wanna be a memory

Am I the only one that's comin' unglued?
Ooh, ooh, ooh, ooh, ooh, ooh-ooh, ooh, ooh-ooh, ooh-ooh, ooh
And I don't wanna be a memory
The bottles on the shelf I'm 'bout to run through
Ooh, ooh, ooh, ooh, ooh, ooh-ooh, ooh, ooh-ooh, ooh-ooh, ooh
And I don't wanna be a memory
I'm by myself
And why won't no one help?
Ooh, ooh, ooh, ooh, ooh, ooh-ooh, ooh, ooh-ooh, ooh-ooh, ooh
And I don't wanna be a memory
I know this can't be healthy
So I'm lookin' for a way out (For a way out)
Ooh, ooh, ooh, ooh, ooh, ooh-ooh, ooh, ooh-ooh, ooh-ooh, ooh
And I don't wanna be a memory"
Kane Brown - Good as You (Official American Sign Language Video,https://www.youtube.com/watch?v=dnqme5f5sbY&list=PLpa-6y72uD3tAfZyX9S5lBOkiFQgYqomz&index=8&ab_channel=KaneBrownVEVO,0:13,"See the way you're taking care of your Mama
The way you’re taking care of me
The way you light up any room, girl
You're what this world should be

Tomorrow, tonight, the rest of my life
I wanna be the man you want me to be
So startin' right now, girl, tell me everything you need

I just wanna wake up everyday here in this bed
Never leave ""I love you"" left unsaid
It might take a hundred lifetimes to do
But baby, I just wanna be good as you

Girl, you’re more than just the surface
Yeah, you got that heart of gold
So when it comes to loving you, babe
No, it will never get old

Tomorrow, tonight, the rest of my life
I wanna be the man you want me to be
So startin' right now, girl, tell me everything you need

I just wanna wake up everyday here in this bed
Never leave ""I love you"" left unsaid
It might take a hundred lifetimes to do
But baby, I just wanna be good as you
Good as you, baby

I just wanna wake up everyday here in this bed
Never leave ""I love you"" left unsaid
In my take a hundred lifetimes to do
But baby, I just wanna be good as you
I just wanna wake up everyday here in this bed (Yeah with you baby)
Never leave ""I love you left"" unsaid
It might take a hundred lifetimes to do
But baby, I just wanna be good as you
Baby, I just wanna be good as you
"
Kane Brown - Lose It (Official American Sign Language Video,https://www.youtube.com/watch?v=xPXtSXc1fIs&list=PLpa-6y72uD3tAfZyX9S5lBOkiFQgYqomz&index=9&ab_channel=KaneBrownVEVO,0:13,"

That lit up, ringing, buzzing good for nothing phone in your hands
With directions to the party that's just started with that cover band
That old school radio station, let's just drive until it's faded
Girl, let's lose it, tonight

'Cause when you do that thing right there
Flippin' your hair, baby, I swear

I don't think you know what you're doing to me
You got my heart skip-skipping a beat
You're not close enough so that space between
You and me, let's lose it
The way you're dancin', swayin' to the music
Girl, that body and how you move it
Every time you cross my mind
Girl, I lose it
Yeah, I lose it
Yeah, I lose it

Let's start with them Luccheses
Baby, kick 'em to the floorboard
Them bobby pins holdin' your hair up
Girl, you don't need 'em no more
That dress hangin' off your shoulder as you move a little closer
Yeah, let's lose it tonight
Yeah girl

I don't think you know what you're doin' to me
You got my heart skip-skipping a beat
You're not close enough so that space between
You and me, let's lose it
The way you're dancin', swayin' to the music
Girl, that body and how you move it
Every time you cross my mind
Girl, I lose it
Yeah, I lose it
Yeah, I lose it

'Cause when you do that thing right there
Flippin' your hair, baby I swear
Um

I don't think you know what you're doing to me
You got my heart skip-skipping a beat
You're not close enough so that space between
You and me, let's lose it
The way you're dancin', swayin' to the music
Girl, that body and how you move it
Every time you cross my mind
Girl, I lose it
Yeah, I lose it
Yeah, I lose it

Girl, I lose it
Yeah, I lose it"
"Marshmello, Kane Brown - One Thing Right (Official American Sign Language Video)",https://www.youtube.com/watch?v=xsFZs6yvle0&list=PLpa-6y72uD3tAfZyX9S5lBOkiFQgYqomz&index=10&ab_channel=KaneBrownVEVO,0:01,"
I've cheated and I’ve lied
I've broke down and I've cried
I’ve got nothing to hide no more
I've loved and I've hurt
Broken people down with words
More grace than I deserve, for sure

Known to be crazy, known to be wild
Mama had herself a little devilish child
Ain't no stranger to the troubles at my door

I've been at the wrong place at the wrong time
Chasin' all the wrong things most of my life
Been every kinda lost that you can't find
But I got one thing right
Been the kinda guy girls' mamas don’t like
Runnin’ with the wrong crowd on the wrong nights
'Cause I’ve been wrong about a million times
But I got one thing right, you

(Baby, I got one thing right)
Mmm
(Baby, I got one thing right)
Yeah, I got you
(Baby, I got one thing right)
I got one thing right

You saw right through my pain
Kept us patient while I changed
Never even crossed your mind to walk away (To walk away)

When I was gettin' crazy, reckless, and wild
Actin' like my mama's little devilish child
It took a heart like yours to find its place (Find its place)

I’ve been at the wrong place at the wrong time
Chasin' all the wrong things most of my life
Been every kinda lost that you can't find
But I got one thing right
Been the kinda guy girls' mamas don't like
Runnin' with the wrong crowd on the wrong nights
'Cause I've been wrong about a million times
But I got one thing right, you

(Baby, I got one thing right)
Oh
(Baby, I got one thing right)
Yeah, I got you
(Baby, I got one thing right)
I got one thing right

I've been wrong about a million times
But I got one thing right, I got one thing right

I've been at the wrong place at the wrong time
Chasin' all the wrong things most of my life
Been every kinda lost that you can't find
But I got one thing right (I got one thing right)
Been the kinda guy girls mamas don't like
Runnin' with the wrong crowd on the wrong nights
'Cause I've been wrong about a million times
But I got one thing right, you

(Baby, I got one thing right)
Oh
(Baby, I got one thing right)
Yeah, I got you
(Baby, I got one thing right)
I got one thing right
I've been at the wrong place at the wrong time
Chasin' all the wrong things most of my life
Been every kinda lost that you can't find
But I got one thing right (I got one thing right)"
