Title,Link,,Subtitles
ASL Gotye &quot;Somebody I Used to Know&quot; (HiDef),https://www.youtube.com/watch?v=hUt4W8sE8Ns,,"18.28 - Now and then I think of when we were together
26.28 - Like when you said you felt so happy you could die
33.48 - Told myself that you were right for me
36.98 - But felt so lonely in your company
But that was love and it's an ache I still remember
62.78 - You can get addicted to a certain kind of sadness
70.08 - Like resignation to the end, always the end
77.10 - So when we found that we could not make sense
81.94 - Well you said that we would still be friends
85.64 - But I'll admit that I was glad it was over
93.22 - But you didn't have to cut me off
Make out like it never happened and that we were nothing
100.56 - And I don't even need your love
But you treat me like a stranger and that feels so rough
108.31 - No you didn't have to stoop so low
111.31 - Have your friends collect your records and then change your number
115.42 - I guess that I don't need that though
118.17 - Now you're just somebody that I used to know
125.47 - Now you're just somebody that I used to know
133.47 - Now you're just somebody that I used to know
152.68 - Now and then I think of all the times you screwed me over
159.78 - Part of me believing it was always something that I'd done
166.03 - But I don't wanna live that
168.03 - way
170.56 - Reading into every word you say
175.31 - You said that you could let it go
And I wouldn't catch
179.03 - you hung up on somebody that
you used to know
183.45 - But you didn't have to cut me off
185.56 - Make out like it never happened and that we were nothing
190.12 - And I don't even need your love
But you treat me like a stranger and that feels so rough
197.31 - No you didn't have to stoop so low
201.31 - Have your friends collect your records and then change your number
205.57 - I guess that I don't need that though
Now you're just somebody that I used to know
215.57 - Somebody that I used to know
219.73 - I used to know
That I used to know
236.54 - I used to know
Somebody"
ASL Music Video: &quot;THIS IS HALLOWEEN&quot; from THE NIGHTMARE BEFORE CHRISTMAS,https://www.youtube.com/watch?v=HeT09ErWCoQ,,
D-PAN ASL Music Video: &quot;We&#39;re Going To Be Friends&quot; by the White Stripes.,https://www.youtube.com/watch?v=IbLz9-riRGM,,"35.00 - [ Intro plays ]
40.00 - ♪ Fall is here, hear the yell ♪
43.00 - ♪ Back to school,
ring the bell ♪
45.00 - ♪ Brand-new shoes,
walking blues ♪
48.00 - ♪ Climb the fence,
books and pens ♪
50.00 - ♪ I can tell that
we are gonna be friends ♪
55.00 - ♪ I can tell that
we are gonna be friends ♪
63.00 - ♪ Walk with me, Suzy Lee ♪
65.00 - ♪ Through the park
and by the tree ♪
68.00 - ♪ We will rest upon the ground ♪
70.00 - ♪ And look at all
the bugs we've found ♪
73.00 - ♪ Safely walk to school
without a sound ♪
78.00 - ♪ Safely walk to school
without a sound ♪
85.00 - ♪ Here we are, no one else ♪
87.00 - ♪ We walked to school
all by ourselves ♪
90.00 - ♪ There's dirt on our uniforms ♪
92.00 - ♪ From chasing all the ants
and worms ♪
95.00 - ♪ We clean up,
and now it's time to learn ♪
100.00 - ♪ We clean up,
and now it's time to learn ♪
107.00 - ♪ Numbers, letters,
learn to spell ♪
110.00 - ♪ Nouns, and books,
and show-and-tell ♪
112.00 - ♪ At playtime,
we will throw the ball ♪
115.00 - ♪ Back to class,
through the hall ♪
117.00 - ♪ Teacher marks
our height against the wall ♪
122.00 - ♪ Teacher marks
our height against the wall ♪
130.00 - ♪ And we don't notice
any time pass ♪
134.00 - ♪ We don't notice anything ♪
138.00 - ♪ We sit side by side
in every class ♪
143.00 - ♪ Teacher thinks
that I sound funny ♪
146.00 - ♪ But she likes
the way you sing ♪
148.00 - ♪ Tonight I'll dream
while I'm in bed ♪
151.00 - ♪ When silly thoughts
go through my head ♪
153.00 - ♪ About the bugs and alphabet ♪
156.00 - ♪ And when I wake tomorrow
I'll bet ♪
158.00 - ♪ That you and I
will walk together again ♪
163.00 - ♪ I can tell that
we are gonna be friends ♪
167.00 - ♪ Yes, I can tell that
we are gonna be friends ♪
175.00 - -- Captions by VITAC --
www.vitac.com"
Céline Dion - I&#39;m Alive (ASL Video),https://www.youtube.com/watch?v=YBvRFdDGTM8,,"0.83 - [MUSIC PLAYS, VOCALIZING]
10.30 - ♪♪ I get wings to fly, oh
15.27 - I'm alive
20.48 - Yeah
22.44 - ♪♪♪
29.74 - When you call on me
33.95 - When I hear you breathe
38.66 - I get wings to fly
41.46 - I feel that I'm alive
48.05 - When you look at me
52.63 - I can touch the sky
55.85 - I know that I'm alive
59.39 - ♪♪♪
62.90 - [VOCALIZING]
71.91 - When you bless the day
76.37 - I just drift away
81.12 - All my worries die
83.83 - I'm glad that I'm alive
91.34 - You've set my heart on fire
94.59 - Filled me with love
97.60 - Made me a woman
99.72 - on clouds above
105.23 - I couldn't get much higher
108.61 - My spirit takes flight
111.65 - ‘Cause I am alive
114.49 - When you call on me
116.49 - When you call on me
118.62 - When I hear you breathe
120.95 - When I hear you breathe
123.46 - I get wings to fly
126.25 - I feel that I'm alive
129.71 - I am alive
133.05 - When you reach for me
135.09 - When you reach for me
137.55 - Raising spirits high
140.22 - God knows that
143.73 - That I'll be the one
146.90 - Standing by
148.69 - Through good and
149.77 - through trying times
153.24 - And it's only begun
155.74 - I can't wait for
the rest of my life
163.62 - When you call on me
165.71 - When you call on me
168.04 - When you reach for me
170.38 - When you reach for me
172.75 - I get wings to fly
175.72 - I feel that
177.38 - When you bless the day
179.85 - When you bless,
you bless the day
182.81 - I just drift away
184.81 - I just drift away
186.94 - All my worries die
189.73 - I know that I'm alive
193.28 - I get
196.53 - I get wings to fly
199.28 - God knows that
201.83 - I'm alive ♪♪"
Pharrell&#39;s &quot;Happy&quot; in ASL by Deaf Film Camp at CM7,https://www.youtube.com/watch?v=H3KSKS3TTbc,,"2.34 - It might seem crazy, what I'm about to say
7.93 - Sunshine, she's here, you can take a break
13.91 - I'm a hot air balloon that could go to space
19.38 - With the air, like I don't care, baby by the way
24.72 - Because I'm happy
26.13 - Clap along if you feel like a room without a roof
30.72 - Because I'm happy
32.10 - Clap along if you feel like happiness is the truth
36.70 - Because I'm happy
38.14 - Clap along if you know what happiness is to you
42.77 - Because I'm happy
44.09 - Clap along if you feel like that's what you wanna do
50.35 - Here come bad news talking this and that, yeah
55.83 - Well, give me all you got, and don't hold it back, yeah,
61.97 - Well, I should probably warn you I'll be just fine, yeah,
67.97 - No offense to you, don't waste your time
71.90 - Here's why
72.78 - Because I'm happy
74.13 - Clap along if you feel like a room without a roof
78.63 - Because I'm happy
80.05 - Clap along if you feel like happiness is the truth
84.68 - Because I'm happy
86.10 - Clap along if you know what happiness is to you
90.74 - Because I'm happy
92.08 - Clap along if you feel like that's what you wanna do
96.74 - Bring me down, can't nothing
101.09 - Bring me down, my level's too high
104.31 - Bring me down, can't nothing
106.89 - Bring me down, I said (let me tell you now)
109.86 - Bring me down, can't nothing
112.77 - Bring me down, my level's too high
116.18 - Bring me down, can't nothing
118.71 - Bring me down, I said
120.88 - Because I'm happy
122.07 - Clap along if you feel like a room without a roof
126.73 - Because I'm happy
128.14 - Clap along if you feel like happiness is the truth
132.69 - Because I'm happy
134.06 - Clap along if you know what happiness is to you
138.75 - Because I'm happy
140.10 - Clap along if you feel like that's what you wanna do
144.80 - Because I'm happy
146.11 - Clap along if you feel like a room without a roof
150.74 - Because I'm happy
152.09 - Clap along if you feel like happiness is the truth
156.69 - Because I'm happy
158.16 - Clap along if you know what happiness is to you
162.79 - Because I'm happy
164.13 - Clap along if you feel like that's what you wanna do
168.71 - Bring me down, can't nothing
172.74 - Bring me down, my level's too high
176.37 - Bring me down, can't nothing
178.82 - Bring me down, I said
180.79 - Because I'm happy
182.02 - Clap along if you feel like a room without a roof
186.68 - Because I'm happy
188.12 - Clap along if you feel like happiness is the truth
192.72 - Because I'm happy
194.13 - Clap along if you know what happiness is to you
198.74 - Because I'm happy
200.15 - Clap along if you feel like that's what you wanna do
204.99 - Because I'm happy
206.12 - Clap along if you feel like a room without a roof
210.72 - Because I'm happy
212.07 - Clap along if you feel like happiness is the truth
216.70 - Because I'm happy
218.11 - Clap along if you know what happiness is to you
222.80 - Because I'm happy
224.17 - Clap along if you feel like that's what you wanna do
229.31 - Come on
232.76 - Time to turn off the lights."
Ingrid Michaelson &amp; Deaf West Theatre Present &quot;Hell No&quot; (Official ASL Music Video),https://www.youtube.com/watch?v=79N7Tn2fDjM,,"14.26 - I Shoulda known better
16.90 - I saw her wearing your sweater
20.14 - nice glasses, fake red hair, just like me
24.64 - Stop crying, stop calling, can't you see that I have stopped falling
31.16 - We were good at faking forever
33.36 - I get it. Whatever.
46.10 - Am I gonna miss you?
47.30 - Hell No!
49.66 - No!
50.32 - Baby watch me up and go
52.32 - Mama said that the boys like you never work out anyway
56.72 - (Boys like you)
58.04 - My Girlfriends say ""Are you gonna be sad?""
60.78 - ""If he calls you up, you gonna take him back?""
62.94 - I said ""Hell No!""
65.24 - No!
66.42 - ""Oh Hell No!""
68.08 - I get it
70.72 - Whatever
74.80 - Straight up don't blame you
77.72 - You're not the Cash and I'm not the June
80.04 - I'll never be the one to make you better
84.46 - Whatever.
85.68 - Hell No!
87.98 - No!
88.68 - Baby watch me up and go
90.98 - Mama said that the boys like you never work out anyway
94.94 - (Boys like you)
96.40 - My girlfriends say ""Are you gonna be sad?""
98.78 - ""If he calls you up, you gonna take him back?""
100.96 - I said ""Hell No!""
102.96 - (You gonna take him back?)
104.38 - ""Oh Hell No!""
107.30 - In my bed late at night
112.52 - Thinking of how you held me tight
118.16 - And will I be lonely when I wake?
123.66 - Did we make a big mistake?
129.08 - Hell No
130.80 - Baby watch me up and go
134.44 - I always knew that a boy like you
136.90 - wouldn't work out anyway
139.02 - (You gonna take him back?)
140.02 - Hell No!
142.54 - No!
143.10 - Baby watch me up and go
145.10 - Mama said that the boys like you never work out anyway
149.74 - (Boys like you)
150.66 - My girlfriends say ""Are you gonna be sad?""
153.12 - ""If he calls you up, you gonna take him back?""
155.70 - I said ""Hell No!""
157.70 - (You gonna take him back?)
158.96 - ""Oh Hell No!""
160.50 - I get it.
161.96 - Hell No!
163.00 - Am I gonna miss you?
164.56 - Oh Hell No!
166.38 - Whatever.
167.44 - Hell No!
169.04 - (You gonna take him back?)
170.04 - Oh Hell No!"
ASL Music Video: Circles by Post Malone,https://www.youtube.com/watch?v=fK3cBbJ7cPI,,
Surface Pressure (From &quot;Encanto&quot;) (ASL Version In Collaboration With Deaf West Theatre),https://www.youtube.com/watch?v=y_NJgW621uw,,
D-PAN ASL Music Video: &quot;Call Me Maybe&quot; by Carly Rae Jepsen,https://www.youtube.com/watch?v=bISv8rMSPto,,"14.58 - I threw a wish in the well
16.22 - don't ask me, I'll never tell
18.34 - I looked to you as it fell
20.24 - and now you're in my way
22.40 - I trade my soul for a wish
24.12 - pennies and dimes for a kiss
26.30 - I wasn't looking for this
28.18 - but now you're in my way
30.24 - your stare was holdin'
31.82 - ripped jeans, skin was showin'
34.16 - hot night, wind was blowin'
36.50 - where you think you're going, baby?
38.90 - hey, I just met you
41.12 - and this is crazy
43.14 - but here's my number
45.22 - so call me, maybe?
47.46 - it's hard to look right
49.38 - at you baby
51.04 - but here's my number
53.20 - so call me, maybe?
54.90 - hey, I just met you
57.42 - and this is crazy
59.12 - but here's my number
61.24 - so call me, maybe?
63.12 - and all the other boys
65.32 - try to chase me
67.06 - but here's my number
68.90 - so call me, maybe?
74.10 - you took your time with the call
76.22 - I took no time with the fall
78.52 - you gave me nothing at all
80.56 - but still, you're in my way
82.88 - I beg, and borrow and steal
85.04 - at first sight and it's real
86.66 - I didn't know I would feel it
88.88 - but it's in my way
90.44 - your stare was holdin'
92.28 - ripped jeans, skin was showin'
94.24 - hot night, wind was blowin'
96.28 - where you think you're going, baby?
98.66 - hey, I just met you
101.18 - and this is crazy
103.00 - but here's my number
104.94 - so call me, maybe?
106.60 - it's hard to look right
108.96 - at you baby
111.08 - but here's my number
112.86 - so call me, maybe?
114.38 - hey, I just met you
116.82 - and this is crazy
118.86 - but here's my number
121.12 - so call me, maybe?
123.02 - and all the other boys
125.42 - try to chase me
127.14 - but here's my number
129.14 - so call me, maybe?
131.02 - before you came into my life
133.42 - I missed you so bad
136.84 - I missed you so, so bad
139.20 - before you came into my life
141.10 - I missed you so bad
142.56 - and you should know that
144.76 - I missed you so, so bad
155.42 - it's hard to look right
157.36 - at you baby
159.16 - but here's my number
160.86 - so call me, maybe?
163.06 - hey, I just met you
165.28 - and this is crazy
167.16 - but here's my number
169.14 - so call me, maybe?
171.32 - and all the other boys
173.54 - try to chase me
175.28 - but here's my number
177.14 - so call me, maybe?
178.92 - before you came into my life
181.00 - I missed you so bad
184.60 - I missed you so so bad
186.90 - before you came into my life
189.26 - I missed you so bad
190.80 - and you should know that
192.76 - so call me, maybe?"
Phillip Phillips&#39; &quot;Home&quot; in ASL by Deaf Film Camp at CM7,https://www.youtube.com/watch?v=CxHMO4mH16k,,"8.25 - Hold on
10.96 - to me as we go.
15.62 - As we roll down
18.96 - this unfamiliar road
23.25 - And although this wave
25.21 - (wave)
27.00 - is stringing us along.
31.79 - Just know you’re not alone
36.17 - ‘Cause I’m gonna make
 this place your home
42.92 - Settle down...
46.04 - it’ll all be clear
50.75 - Don’t pay no mind to the demons
53.62 - They fill you with fear!
58.54 - The trouble
59.71 - —it might drag you down
62.17 - If you get lost,
63.50 - you can always be found
66.54 - Just know you’re not alone
70.88 - ‘Cause I’m gonna make
 this place your home
77.67 - Ooo-oo-oo...
79.62 - Oo-oo-oo-oo.
81.79 - Oo-oo-oo-oo...
85.75 - Oo-oo-oo-oo…
93.46 - Aaa-aa-aa-aa-aa-aa-aa.
97.67 - Aa-aa-aa-aaaaaa
101.58 - Aaa-aa-aa-aa-aa-aaaa.
109.17 - Aaa-aa-aa-aa-aa-aa-aa.
113.50 - Aaa-aa-aa-aaaaaa.
117.58 - Aaa-aa-aa-aa-aa-aaaa.
125.04 - Settle down,
128.29 - it’ll all be clear...
133.12 - Don’t pay no mind to the demons
135.96 - they fill you with fear!
141.04 - The trouble it might drag you down
144.42 - If you get lost,
145.54 - you can always be found
149.04 - Just know you’re not alone
153.21 - ‘Cause I’m gonna make 
this place your home
159.83 - Ooo-oo-oo-oo-oo-oo-oo.
163.92 - Ao-oo-oo-oo...
168.08 - Ooo-oo-oo-oo-oo-oo-oo.
175.96 - Ao-oo-oo-oo..."
